Caller	Callee
org.apache.commons.beanutils.PropertyUtils.getPropertyEditorClass(Object,String)	org.apache.commons.beanutils.PropertyUtilsBean.getInstance()
org.apache.commons.beanutils.PropertyUtilsBean.getSimpleProperty(Object,String)	org.apache.commons.beanutils.PropertyUtilsBean.invokeMethod(Method,Object,Object[])
org.apache.commons.beanutils.PropertyUtilsTestCase.testGetMappedValues()	org.apache.commons.beanutils.PropertyUtils.getNestedProperty(Object,String)
org.apache.commons.beanutils.BeanUtilsBenchCase.setUp()	org.apache.commons.beanutils.BenchBean.getStringProperty()
org.apache.commons.beanutils.LazyDynaClassTestCase.testGetPropertyDoesntExist1()	org.apache.commons.beanutils.LazyDynaClass.isReturnNull()
org.apache.commons.beanutils.PropertyUtilsBenchCase.setUp()	org.apache.commons.beanutils.DynaBean.set(String,Object)
org.apache.commons.beanutils.ConvertUtils.getDefaultCharacter()	org.apache.commons.beanutils.ConvertUtilsBean.getInstance()
org.apache.commons.beanutils.LazyDynaBean.set(String,int,Object)	org.apache.commons.beanutils.DynaClass.getDynaProperty(String)
org.apache.commons.beanutils.PropertyUtilsBean.getMappedProperty(Object,String,String)	org.apache.commons.beanutils.DynaBean.getDynaClass()
org.apache.commons.beanutils.LazyDynaMapTestCase.testMappedPropertyUtils()	org.apache.commons.beanutils.LazyDynaMap.setReturnNull(boolean)
org.apache.commons.beanutils.locale.LocaleBeanificationTestCase.testGetByContextClassLoader()	org.apache.commons.beanutils.locale.LocaleBeanificationTestCase.Signal.setBean(LocaleBeanUtilsBean)
org.apache.commons.collections.keyvalue.AbstractMapEntry.equals(Object)	org.apache.commons.collections.keyvalue.AbstractKeyValue.getKey()
org.apache.commons.beanutils.ConvertUtilsTestCase.testPositiveArray()	org.apache.commons.beanutils.ConvertUtils.convert(String[],Class)
org.apache.commons.beanutils.MethodUtilsTestCase.testInvokeMethodWithPrimitives()	org.apache.commons.beanutils.PrimitiveBean.setLong(long)
org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getIndexedProperty(Object,String,String)	org.apache.commons.beanutils.PropertyUtilsBean.getIndexedProperty(Object,String)
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTest.testExecuteWithInvalidPropertyName()	org.apache.commons.beanutils.BeanPropertyValueChangeClosure.execute(Object)
org.apache.commons.beanutils.DynaPropertyUtilsTestCase.testSetIndexedValues()	org.apache.commons.beanutils.PropertyUtils.getIndexedProperty(Object,String)
org.apache.commons.beanutils.PropertyUtilsBean.getPropertyEditorClass(Object,String)	org.apache.commons.beanutils.PropertyUtilsBean.getPropertyDescriptor(Object,String)
org.apache.commons.beanutils.LazyDynaMapTestCase.testSimpleProperty()	org.apache.commons.beanutils.LazyDynaBean.get(String)
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetMappedValues()	org.apache.commons.beanutils.PropertyUtils.setMappedProperty(Object,String,Object)
org.apache.commons.beanutils.BeanUtilsTestCase.testCopyPropertyNestedIndexedArray()	org.apache.commons.beanutils.TestBean.getNested()
org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getProperty(Object,String,String)	org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getNestedProperty(Object,String,String)
org.apache.commons.beanutils.locale.LocaleBeanUtils.getApplyLocalized()	org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getApplyLocalized()
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetSimpleString()	org.apache.commons.beanutils.TestBean.getStringProperty()
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTest.testExecuteWithSimpleFloatPropertyAndFloatValue()	org.apache.commons.beanutils.BeanPropertyValueChangeClosure.execute(Object)
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetSimpleIndexed()	org.apache.commons.beanutils.PropertyUtils.setSimpleProperty(Object,String,Object)
org.apache.commons.beanutils.locale.LocaleConvertUtilsBean.deregister(Class,Locale)	org.apache.commons.collections.FastHashMap.remove(Object)
org.apache.commons.beanutils.DynaPropertyUtilsTestCase.testSetMappedArguments()	org.apache.commons.beanutils.PropertyUtils.setMappedProperty(Object,String,String,Object)
org.apache.commons.beanutils.ConvertUtils.convert(Object)	org.apache.commons.beanutils.ConvertUtilsBean.convert(Object)
org.apache.commons.beanutils.locale.LocaleBeanUtils.setProperty(Object,String,Object)	org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getLocaleBeanUtilsInstance()
org.apache.commons.beanutils.BeanificationTestCase.testBeanUtilsBeanSetInstance()	org.apache.commons.beanutils.BeanificationTestCase.Signal.setBean(BeanUtilsBean)
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTest.testExecuteWithNestedProperty()	org.apache.commons.beanutils.TestBean.getStringProperty()
org.apache.commons.beanutils.locale.LocaleBeanificationTestCase.SetInstanceTesterThread.run()	org.apache.commons.beanutils.locale.LocaleBeanificationTestCase.Signal.setBean(LocaleBeanUtilsBean)
org.apache.commons.beanutils.BasicDynaBeanTestCase.testSerialization()	org.apache.commons.beanutils.BasicDynaBeanTestCase.testGetSimpleShort()
org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getSimpleProperty(Object,String)	org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getSimpleProperty(Object,String,String)
org.apache.commons.beanutils.BasicDynaBeanTestCase.testSetMappedValues()	org.apache.commons.beanutils.DynaBean.set(String,String,Object)
org.apache.commons.beanutils.BasicDynaBeanTestCase.testGetDescriptors()	org.apache.commons.beanutils.DynaProperty.getName()
org.apache.commons.beanutils.DynaPropertyUtilsTestCase.testSetSimpleBoolean()	org.apache.commons.beanutils.DynaBean.get(String)
org.apache.commons.beanutils.IndexedPropertyTestCase.testSetArray()	org.apache.commons.beanutils.BeanUtilsBean.setProperty(Object,String,Object)
org.apache.commons.beanutils.BeanUtilsBean.getIndexedProperty(Object,String)	org.apache.commons.beanutils.BeanUtilsBean.getConvertUtils()
org.apache.commons.beanutils.LazyDynaBean.get(String,int)	org.apache.commons.beanutils.LazyDynaBean.isDynaProperty(String)
org.apache.commons.beanutils.LazyDynaBeanTestCase.testMappedPropertyDefault()	org.apache.commons.beanutils.LazyDynaBean.get(String)
org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.definePropertyType(Object,String,String)	org.apache.commons.beanutils.BeanUtilsBean.getPropertyUtils()
org.apache.commons.collections.FastHashMap.CollectionView.clear()	org.apache.commons.collections.FastHashMap.CollectionView.get(Map)
org.apache.commons.beanutils.BeanificationTestCase.TestIndependenceThread.run()	org.apache.commons.beanutils.BeanificationTestCase.Signal.setSignal(int)
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetMappedValues()	org.apache.commons.beanutils.PropertyUtils.getMappedProperty(Object,String,String)
org.apache.commons.collections.ReferenceMap.keySet()	org.apache.commons.collections.ReferenceMap.remove(Object)
org.apache.commons.beanutils.BeanUtilsTestCase.testCopyPropertiesStandard()	org.apache.commons.beanutils.TestBean.getStringArray()
org.apache.commons.beanutils.LazyDynaClassTestCase.testRemoveProperty()	org.apache.commons.beanutils.LazyDynaClass.setReturnNull(boolean)
org.apache.commons.beanutils.LazyDynaMapTestCase.testMappedPropertyRestricted()	org.apache.commons.beanutils.LazyDynaMap.isRestricted()
org.apache.commons.beanutils.PropertyUtils.setIndexedProperty(Object,String,Object)	org.apache.commons.beanutils.PropertyUtilsBean.setIndexedProperty(Object,String,Object)
org.apache.commons.beanutils.PropertyUtils.clearDescriptors()	org.apache.commons.beanutils.PropertyUtilsBean.clearDescriptors()
org.apache.commons.beanutils.converters.BooleanConverterTestCase.testAdditionalStrings()	org.apache.commons.beanutils.converters.BooleanConverter.convert(Class,Object)
org.apache.commons.beanutils.LazyDynaBeanTestCase.testMappedInvalidType()	org.apache.commons.beanutils.DynaProperty.isMapped()
org.apache.commons.collections.FastHashMap.CollectionView.toArray(Object[])	org.apache.commons.collections.FastHashMap.CollectionView.get(Map)
org.apache.commons.beanutils.IndexedPropertyTestCase.setUp()	org.apache.commons.beanutils.IndexedTestBean.setArrayList(ArrayList)
org.apache.commons.beanutils.BeanToPropertyValueTransformerTest.testTransformWithMappedProperty()	org.apache.commons.beanutils.BeanToPropertyValueTransformer.transform(Object)
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetNoGetter()	org.apache.commons.beanutils.PropertyUtils.getPropertyDescriptor(Object,String)
org.apache.commons.beanutils.BeanUtilsTestCase.testSeparateInstances()	org.apache.commons.beanutils.BeanUtilsBean.getConvertUtils()
org.apache.commons.beanutils.LazyDynaMap.set(String,Object)	org.apache.commons.beanutils.LazyDynaMap.isRestricted()
